Player,Gross P/W (GBP/EUR),Gross P/W (USD),Gross P/Min(USD),Gross P/Y  (GBP/EUR),Gross P/Y (USD),Gross P/Y  (GBP/EUR) BONUS,Signed,Gross Remaining (USD),Status,Pos.,Pos.,Age,Country,Club,Competition,
Marcel Sabitzer,144231,155769.48,15.45332143,7500000,8100000,,45131,#REF!,Reserve,M,CM,30,Austria,Borussia Dortmund,Bundesliga,
Federico Dimarco,142500,153900,15.26785714,7410000,8002800,1300000,45290,#REF!,Starter,D,LB,26,Italy,Inter Milan,Serie A,
Riccardo Calafiori,120000,152400,15.11904762,6240000,7924800,,45502,#REF!,Starter,D,CB,22,Italy,Arsenal FC,Premier League,
Leon Bailey,120000,152400,15.11904762,6240000,7924800,,45334,#REF!,Starter,F,RW,27,Jamaica,Aston Villa,Premier League,
Lucas Digne,120000,152400,15.11904762,6240000,7924800,,44574,#REF!,Starter,D,LB,31,France,Aston Villa,Premier League,
John McGinn,120000,152400,15.11904762,6240000,7924800,,45100,#REF!,Reserve,M,CM,29,Scotland,Aston Villa,Premier League,
Tosin Adarabioyo,120000,152400,15.11904762,6240000,7924800,,45474,#REF!,Reserve,D,CB,26,England,Chelsea,Premier League,
Cody Gakpo,120000,152400,15.11904762,6240000,7924800,,44927,#REF!,Starter,F,LW,25,Netherlands,Liverpool,Premier League,
Dominik Szoboszlai,120000,152400,15.11904762,6240000,7924800,1560000,45109,#REF!,Reserve,M,CM,23,Hungary,Liverpool,Premier League,
Victor Lindelöf,120000,152400,15.11904762,6240000,7924800,,45295,#REF!,Reserve,D,CB,30,Sweden,Manchester United,Premier League,
Manuel Ugarte,120000,152400,15.11904762,6240000,7924800,,45534,#REF!,Reserve,M,DM,23,Uruguay,Manchester United,Premier League,
André Onana,120000,152400,15.11904762,6240000,7924800,4160000,45127,#REF!,Starter,K,GK,28,Cameroon,Manchester United,Premier League,
Lisandro Martínez,120000,152400,15.11904762,6240000,7924800,,44769,#REF!,Reserve,D,CB,26,Argentina,Manchester United,Premier League,
Alexander Isak,120000,152400,15.11904762,6240000,7924800,,44799,#REF!,Reserve,F,CF,24,Sweden,Newcastle United,Premier League,
Sandro Tonali,120000,152400,15.11904762,6240000,7924800,1820000,45110,#REF!,Starter,M,DM,24,Italy,Newcastle United,Premier League,
Kieran Trippier,120000,152400,15.11904762,6240000,7924800,,44953,#REF!,Starter,D,RB,33,England,Newcastle United,Premier League,
Aaron Ramsdale,120000,152400,15.11904762,6240000,7924800,,45064,#REF!,Starter,K,GK,26,England,Southampton,Premier League,
